gene,log2FoldChange,padj
DIS3,0.13,0.3789
RPL38,0.07,0.6648
RPL36,0.27,0.1063
TAB1,0.02,0.9071
RPL35,0.28,0.0703
COL14A1,0.15,0.3986
RPL30,0.23,0.1376
RPL31,0.10,0.5806
GNA15,0.25,0.0937
MIEF1,0.19,0.1890
EMG1,0.16,0.3859
DKC1,0.13,0.1947
BAP1,-0.03,0.8668
SDHB,-0.31,0.0076
PPCS,-0.18,0.1153
SMARCC2,-0.05,0.7493
TAP2,-0.19,0.2788
MOV10,0.34,0.1057
CHTF18,-0.06,0.7132
AP1M1,0.01,0.9648
PSPC1,0.00,0.9821
MOCS3,0.16,0.4616
SRP54,-0.15,0.3849
EEF2K,-0.09,0.6916
OGDH,0.01,0.9696
COMMD9,0.01,0.9035
SDF2,0.25,0.1131
OARD1,-0.02,0.9090
SURF1,0.58,0.0038
NFRKB,0.23,0.1916
SMG8,-0.22,0.3979
FAM114A2,-0.61,0.0077
METTL13,0.30,0.0774
WEE1,-0.40,0.0332
NADK2,-0.42,0.0736
METTL16,0.26,0.2063
METTL14,-0.20,0.2586
ZMYM3,-0.25,0.2041
NPR3,0.18,0.2379
CAMK2G,0.31,0.1068
BCAT2,0.14,0.3695
BCAT1,-0.36,0.0392
OSBPL8,-0.29,0.1193
STK3,0.12,0.6462
MACROD1,0.29,0.1065
GMIP,-0.01,0.9333
OSBPL3,-0.25,0.2515
UBE4B,-0.39,0.0773
AKAP1,-0.06,0.6534
CD3EAP,0.60,0.0056
EIF2D,0.10,0.4505
AKAP8,0.03,0.8541
ARHGAP17,-0.27,0.0747
ARHGAP15,-0.37,0.0118
STARD7,0.02,0.8908
YBX3,-0.10,0.5414
PHPT1,0.32,0.0545
CAPZB,-0.11,0.4390
MRPL11,-0.02,0.8732
CELF2,-0.19,0.1092
CELF1,0.05,0.6405
POLR1B,-0.06,0.7499
KRR1,-0.38,0.0137
COL3A1,,
STIP1,0.17,0.2314
C16orf62,-0.07,0.7358
DUS1L,0.17,0.3901
WDR43,0.09,0.5523
WDR45,0.08,0.5450
AHSA1,0.23,0.0089
MRI1,0.00,0.9869
GTF2I,0.13,0.5412
NMRAL1,0.18,0.1818
PRPF39,-0.60,0.0128
DSP,0.03,0.7036
SAMM50,-0.08,0.6353
ING5,0.08,0.7254
PDAP1,0.12,0.2234
GSTO1,-0.07,0.6002
DNAJC9,-0.20,0.1805
ERMP1,0.17,0.4209
DNAJC3,-0.29,0.0758
TTC33,-0.01,0.9588
TTC37,-0.08,0.6029
WDFY1,-0.18,0.3235
CDC42,-0.34,0.0053
ECHDC3,-0.18,0.4544
PARK7,-0.17,0.1222
ECHDC1,-0.49,0.0054
RRP15,-0.15,0.4576
ACP1,-0.18,0.2762
ASH2L,-0.22,0.1260
GLA,0.05,0.6934
RAP1B,-0.15,0.4819
PRKDC,-0.10,0.4739
ACO1,0.26,0.2258
MKRN2,-0.01,0.9674
CCDC93,-0.16,0.4095
CDIPT,0.62,0.0002
NCOA2,0.24,0.1851
ITPR1,-0.22,0.2824
NCOA7,-0.37,0.0503
NT5C3A,-0.12,0.5435
ACAT1,-0.27,0.1090
DDB2,0.09,0.5441
LIMD2,0.14,0.3784
MECP2,0.19,0.1975
KDSR,-0.16,0.2618
DEPTOR,0.28,0.1151
SLC27A2,0.11,0.5108
SERPINH1,0.04,0.8740
CAPZA2,-0.18,0.2974
CAPZA1,-0.54,0.0004
TBCK,-0.20,0.2766
AK3,-0.32,0.0070
PRRC1,-0.21,0.0814
AK1,0.66,0.0151
GEMIN4,0.29,0.1109
AK4,-0.01,0.9666
UBFD1,0.17,0.4315
C16orf58,0.28,0.0291
PBRM1,-0.40,0.0267
AHSG,0.07,0.4463
NCKAP1L,-0.10,0.4323
WDR82,-0.12,0.4449
DHFR,-0.61,0.0003
ERC1,-0.04,0.8378
BAX,0.12,0.4583
WRNIP1,0.22,0.1886
ERG,0.07,0.6324
ZMYND8,0.32,0.0085
LARS2,0.12,0.5865
PMPCA,0.07,0.6722
DDX18,-0.20,0.1311
PSMC1,-0.06,0.6348
ATP6V1B2,-0.16,0.2972
PSMC3,0.16,0.1928
PSMC4,-0.22,0.1101
TRA2A,-0.37,0.0253
PSMC6,-0.13,0.4785
MCTS1,-0.33,0.0414
HEATR1,-0.12,0.4858
ERI3,0.04,0.7822
SEC61B,-0.14,0.2879
CPVL,0.11,0.5694
ENDOD1,0.42,0.1216
TOMM34,-0.17,0.2253
NCLN,0.05,0.7789
AASS,0.18,0.3480
PPP3CA,-0.85,0.0001
GRHPR,-0.05,0.7732
FRYL,-0.04,0.8427
DLG1,-0.28,0.1386
SPTB,0.27,0.3163
IKBKB,0.16,0.3226
