gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
GSDMD,94.1982977180864,0.631360120182872,0.226206497844454,0.000286327280381511,0.0248348805074983
MBD6,45.6855526980828,0.942478790997807,0.484120748755153,0.000286908199280612,0.0248348805074983
AP5M1,71.8456964710618,-0.689211158219944,0.253102546858842,0.00028907251797633,0.0248348805074983
SYNE2,52.9470564661897,1.30124294617482,0.802115472451363,0.000283514987106035,0.0248348805074983
UBQLN2,59.7834219196422,0.856501657785841,0.40877760229829,0.000309461585443188,0.0261221985359397
C1orf216,31.9946318542733,0.993701537982583,0.470056952208068,0.000318602660175307,0.0265040473826995
GPN1,78.3625540882755,-0.632994981024065,0.233385913924014,0.000317260661843768,0.0265040473826995
EMILIN2,20.101838079806,1.11932995079674,0.81416999346278,0.000328125387287253,0.0269062817575547
CXADR,7.40501773580064,-1.77060538612753,0.797408365636078,0.000327358663933037,0.0269062817575547
FAM71D,30.837268465275,-1.65936575310876,0.888111379764304,0.000350086139786239,0.0285034672677023
WEE1,60.1058440878162,-0.806425560645805,0.342010493831453,0.000378317427751215,0.0305850990886193
GALM,36.3100961970067,0.960246876601182,0.402465177800444,0.000386798333117296,0.0309462959774732
FAM83F,16.8450461721549,-1.51082641171899,0.709328905945876,0.000388176534909071,0.0309462959774732
AKAP11,80.028669871349,0.610469835523537,0.230197686957367,0.000395925408904043,0.0313463703049546
HPGD,28.0155102989392,-0.13757677654624,0.262928852599557,0.000401424810277936,0.0313493661359912
FOSL1,28.5051683778743,1.52894630839756,0.652959019351117,0.000400638403741664,0.0313493661359912
ZNF780A,33.6957864886389,-0.160530023844457,0.303688981255524,0.000405599433106672,0.0314613614328689
STMN1,749.067757571851,-0.482117886934943,0.174032318103684,0.000409632181338136,0.0315609224279315
FILIP1,9.33825929645151,-0.11568434628893,0.232580574374405,0.000418470191774636,0.0320269186771521
SH3BP1,21.2864466413308,-1.18605189724956,0.507411716268775,0.000422503077730519,0.0321214260420288
PLCB1,408.392649325943,-0.80008365419064,0.316761787216722,0.000427101539265157,0.0322574057287106
